Player Name,Tag,Role,Exp Level,Trophies,Donations,Donations Received,League ID,League Name,Town Hall Level
YT_Onwayz,#2YQJVQJU2,coLeader,276,4970,227,176,29000022,Legend League,17
WrightEO,#JLY2VLY,member,224,505,258,0,29000000,Unranked,17
Jesus,#P8QUQ2QGG,member,224,405,259,171,29000000,Unranked,17
Maximus,#LVLYQL2QJ,member,174,40,254,83,29000022,Legend League,17
VOID,#G2U22028Y,coLeader,198,19,477,369,29000000,Unranked,17
Alexios,#GJVP2LG0G,coLeader,179,0,0,85,29000022,Legend League,17
jack,#LUG0J9JV,admin,229,752,531,320,29000021,Titan League I,17
Zerko,#Y8RVGUQQ,admin,225,219,212,0,29000000,Unranked,17
Bach,#G9G2P8JQU,coLeader,216,0,73,58,29000000,Unranked,17
mnb,#YJQ0R0LGP,coLeader,250,0,252,58,29000000,Unranked,17
Langers,#PYYQLQQ0,coLeader,226,484,217,440,29000021,Titan League I,17
SierraTheWolfé,#UCGLJQ,admin,238,0,0,272,29000021,Titan League I,17
Zef™️,#2UCJJ2929,coLeader,228,206,343,83,29000022,Legend League,16
pilko,#8CQYQ9P2L,member,207,0,0,0,29000000,Unranked,17
Zac,#VR29VV2,admin,193,415,240,0,29000000,Unranked,16
hh8019,#L0RQVPYY,member,199,0,0,0,29000000,Unranked,16
J.A.C.K,#LU92QL9LR,member,184,0,1,106,29000000,Unranked,16
Konstantinos,#GR9VYGJVU,coLeader,133,0,0,0,29000000,Unranked,16
BlackMamba,#299ULQLY0,admin,222,134,0,0,29000000,Unranked,15
venomz¿¿,#PLGJ2Q90C,member,212,59,197,105,29000000,Unranked,15
Coop,#22JVPPQLU,coLeader,189,37,431,138,29000019,Titan League III,15
moazam shafiq,#8JYGLUY9P,admin,164,86,3,0,29000019,Titan League III,15
Ominous,#GYPY9VUJJ,admin,139,420,35,53,29000000,Unranked,16
fire dragon40,#9Y99UQL,member,157,77,191,96,29000000,Unranked,15
Rob,#GQV9J0R9G,member,141,49,135,312,29000000,Unranked,14
Abilicty,#Q9QV29RJQ,admin,153,0,0,0,29000020,Titan League II,14
kr1x0,#GPVRP8P92,admin,139,398,262,0,29000000,Unranked,14
Moonfall,#LGLRRJR0Y,member,127,71,72,0,29000000,Unranked,14
Minge,#9C8QU2C2G,member,206,36,0,0,29000018,Champion League I,14
anish,#YRQY8RCP,member,159,31,0,0,29000015,Master League I,13
Real war...Boss,#9UPCUGYYG,admin,163,30,0,0,29000020,Titan League II,14
LUKE,#8LCUVJQCR,admin,148,30,0,0,29000000,Unranked,13
SHAHYAN,#9GVVPUGCY,admin,147,21,0,82,29000000,Unranked,13
Lich,#G20LUCY8P,member,100,26,0,0,29000012,Crystal League I,13
tech 1,#G9QQJ89JY,member,120,22,0,168,29000000,Unranked,13
Thirdy,#Q20C0CLRL,admin,94,0,178,1667,29000016,Champion League III,13
Justinian,#GRVU0PQJR,coLeader,71,0,0,0,29000008,Gold League II,12
ominous,#GCR299JRG,admin,86,14,2,0,29000000,Unranked,11
Cheng,#GGLUYCGUJ,member,72,55,31,140,29000000,Unranked,10
Persian,#90VCP828,coLeader,168,2870,0,0,29000014,Master League II,13
Jarrtt,#GG0J8GC0L,admin,81,0,0,0,29000000,Unranked,16
Der Kaiser,#YGGP0JY,coLeader,215,0,63,0,29000000,Unranked,17
tufzlad,#QPUVRYGJQ,member,147,0,0,0,29000014,Master League II,14
Twix 6,#GLCCCG98P,leader,4,0,0,0,29000000,Unranked,3
MG,#9VLCLLCR9,coLeader,224,0,1,116,29000015,Master League I,17
JazzaThaReaper,#2V2V8QR2Y,coLeader,210,0,0,0,29000020,Titan League II,15
Kim Tae Ri,#GRJCCUVQ8,admin,153,0,106,168,29000020,Titan League II,14
jordan,#8LPYVG928,admin,198,0,213,0,29000019,Titan League III,17
Dark v2,#QLQUYCLYQ,member,184,0,220,247,29000000,Unranked,16
